shape of p1 (99, 2)
shape of p2 (99, 2)
         101370 function calls (98468 primitive calls) in 0.202 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.001    0.000    0.445    0.030 __init__.py:1(<module>)
    121/1    0.001    0.000    0.202    0.202 {built-in method builtins.exec}
        1    0.000    0.000    0.202    0.202 python_performance_optim.py:1(<module>)
    162/4    0.001    0.000    0.201    0.050 <frozen importlib._bootstrap>:1165(_find_and_load)
    162/4    0.001    0.000    0.201    0.050 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    150/4    0.001    0.000    0.200    0.050 <frozen importlib._bootstrap>:666(_load_unlocked)
    119/4    0.000    0.000    0.200    0.050 <frozen importlib._bootstrap_external>:934(exec_module)
    397/8    0.000    0.000    0.197    0.025 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    375/9    0.001    0.000    0.186    0.021 {built-in method builtins.__import__}
   250/40    0.001    0.000    0.183    0.005 <frozen importlib._bootstrap>:1207(_handle_fromlist)
      119    0.001    0.000    0.069    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.059    0.059 __config__.py:1(<module>)
      119    0.000    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      119    0.033    0.000    0.033    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.031    0.031 index_tricks.py:1(<module>)
      159    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      158    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      158    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
  150/145    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.025    0.025 defmatrix.py:1(<module>)
      295    0.003    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.025    0.025 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.023    0.023 linalg.py:1(<module>)
    30/28    0.000    0.000    0.022    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
    30/28    0.018    0.001    0.022    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.020    0.020 _pickle.py:1(<module>)
    30/20    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
    30/20    0.004    0.000    0.019    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.018    0.018 numerictypes.py:1(<module>)
      638    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      639    0.016    0.000    0.016    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.016    0.016 _type_aliases.py:1(<module>)
      119    0.015    0.000    0.015    0.000 {method '__exit__' of '_io._IOBase' objects}
